,capital_outlay_expenditure,enroll,federal_revenue,id,instruction_expenditure,local_revenue,other_expenditure,state,state_revenue,support_services_expenditure,total_expenditure,total_revenue,year
0,174053,,304177,1992_ALABAMA,1481703,715680,,ALABAMA,1659028,735036,2653798,2678885,1992
1,37451,,106780,1992_ALASKA,498362,222100,,ALASKA,720711,350902,972488,1049591,1992
2,609114,,297888,1992_ARIZONA,1435908,1590376,,ARIZONA,1369815,1007732,3401580,3258079,1992
3,145212,,178571,1992_ARKANSAS,964323,574603,,ARKANSAS,958785,483488,1743022,1711959,1992
4,2044688,,2072470,1992_CALIFORNIA,14358922,7641041,,CALIFORNIA,16546514,8520926,27138832,26260025,1992
5,364760,,163253,1992_COLORADO,1642466,1713934,,COLORADO,1307986,1035970,3264826,3185173,1992
6,48542,,143542,1992_CONNECTICUT,2148041,2348221,,CONNECTICUT,1342539,1142600,3721338,3834302,1992
7,30595,,45945,1992_DELAWARE,372722,178346,,DELAWARE,420942,194915,638784,645233,1992
8,47272,,64749,1992_DISTRICT_OF_COLUMBIA,329160,644731,,DISTRICT_OF_COLUMBIA,0,316679,742893,709480,1992
9,1667826,,788420,1992_FLORIDA,5166374,5033930,,FLORIDA,5683949,3410440,11305642,11506299,1992
10,526644,,398701,1992_GEORGIA,3043984,2339526,,GEORGIA,2798674,1559059,5535942,5536901,1992
11,126212,,71273,1992_HAWAII,536115,22093,,HAWAII,903443,291376,1040121,996809,1992
12,111353,,69138,1992_IDAHO,473505,258279,,IDAHO,531912,246320,886161,859329,1992
13,727858,,597077,1992_ILLINOIS,5010400,6078395,,ILLINOIS,3073178,3148849,9850560,9748650,1992
14,536404,,257044,1992_INDIANA,2598925,2225081,,INDIANA,2578149,1478639,5182754,5060274,1992
15,222086,,125665,1992_IOWA,1446478,1362064,,IOWA,1176205,800570,2795774,2663934,1992
16,157705,,121625,1992_KANSAS,1165749,1220524,,KANSAS,903199,708572,2234915,2245348,1992
17,136694,,289902,1992_KENTUCKY,1343438,709891,,KENTUCKY,1643109,817871,2518082,2642902,1992
18,135305,,367822,1992_LOUISIANA,1888349,1124697,,LOUISIANA,1848734,986486,3362853,3341253,1992
19,97128,,73160,1992_MAINE,685350,622005,,MAINE,511654,317880,1228869,1206819,1992
20,340298,,228336,1992_MARYLAND,2628891,2651328,,MARYLAND,1778834,1461083,4698374,4658498,1992
21,167247,,273946,1992_MASSACHUSETTS,2751871,3804662,,MASSACHUSETTS,1439051,1523068,5245560,5517659,1992
22,825552,,537917,1992_MICHIGAN,4681327,6885840,,MICHIGAN,2539380,3321276,10170688,9963137,1992
23,463724,,194092,1992_MINNESOTA,2534882,2109838,,MINNESOTA,2380754,1343203,4981125,4684684,1992
24,131795,,277706,1992_MISSISSIPPI,956104,505801,,MISSISSIPPI,901199,445364,1691990,1684706,1992
25,474552,,255194,1992_MISSOURI,2168135,1885364,,MISSOURI,1903124,1221397,4197600,4043682,1992
26,64263,,69947,1992_MONTANA,412219,421581,,MONTANA,337455,241644,781009,828983,1992
27,132183,,85423,1992_NEBRASKA,909159,964734,,NEBRASKA,492256,394690,1534046,1542413,1992
28,249189,,45018,1992_NEVADA,572623,328026,,NEVADA,724032,334685,1251651,1097076,1992
29,63554,,31020,1992_NEW_HAMPSHIRE,581123,946075,,NEW_HAMPSHIRE,86296,310285,1066647,1063391,1992
30,474259,,416063,1992_NEW_JERSEY,6042936,5893908,,NEW_JERSEY,4504718,2911782,10452340,10814689,1992
31,139206,,161520,1992_NEW_MEXICO,683253,177918,,NEW_MEXICO,990653,432392,1339829,1330091,1992
32,1640971,,1172030,1992_NEW_YORK,13288972,11760486,,NEW_YORK,8697663,6132532,22815611,21630179,1992
33,774194,,389145,1992_NORTH_CAROLINA,2847638,1563576,,NORTH_CAROLINA,3283378,1422278,5418687,5236099,1992
34,34904,,51476,1992_NORTH_DAKOTA,315009,265312,,NORTH_DAKOTA,242693,152340,553732,559481,1992
35,742377,,472604,1992_OHIO,5172782,5181654,,OHIO,3631703,2961942,9483822,9285961,1992
36,194081,,211627,1992_OKLAHOMA,1283577,714562,,OKLAHOMA,1470516,779828,2515272,2396705,1992
37,230464,,163544,1992_OREGON,1556770,1822106,,OREGON,788309,967075,2898210,2773959,1992
38,964457,,658139,1992_PENNSYLVANIA,6075381,6371790,,PENNSYLVANIA,4227323,3329224,11539253,11257252,1992
39,14685,,43545,1992_RHODE_ISLAND,556787,509718,,RHODE_ISLAND,329810,265279,863404,883073,1992
40,261644,,249903,1992_SOUTH_CAROLINA,1544232,1242575,,SOUTH_CAROLINA,1350148,768292,2922293,2842626,1992
41,65568,,60671,1992_SOUTH_DAKOTA,320561,343163,,SOUTH_DAKOTA,147834,169697,593126,551668,1992
42,232437,,308571,1992_TENNESSEE,1830264,1466538,,TENNESSEE,1305381,799825,3132516,3080490,1992
43,1833239,,1160185,1992_TEXAS,7961379,8397036,,TEXAS,6706959,4613884,16119084,16264180,1992
44,155425,,105349,1992_UTAH,841552,577940,,UTAH,872510,396073,1547980,1555799,1992
45,25781,,31757,1992_VERMONT,386699,576457,,VERMONT,204163,205777,800377,812377,1992
46,523409,,313971,1992_VIRGINIA,2982862,3137189,,VIRGINIA,2180133,1758078,5744469,5631293,1992
47,855759,,263053,1992_WASHINGTON,2587181,1140000,,WASHINGTON,3467779,1518521,5360834,4870832,1992
48,156015,,130117,1992_WEST_VIRGINIA,835186,433179,,WEST_VIRGINIA,1021803,465429,1587968,1585099,1992
49,416449,,217723,1992_WISCONSIN,2914442,2570747,,WISCONSIN,2205439,1490415,5181471,4993909,1992
50,60815,,31714,1992_WYOMING,339953,283818,,WYOMING,314216,185930,624941,629748,1992
51,204207,727716.0,331409,1993_ALABAMA,1564558,766687,237222.0,ALABAMA,1729295,794146,2833433,2827391,1993
52,135791,121156.0,176150,1993_ALASKA,494917,239419,36291.0,ALASKA,775829,433788,1126398,1191398,1993
53,680139,676297.0,318465,1993_ARIZONA,1578889,1694104,164083.0,ARIZONA,1415407,1000914,3623946,3427976,1993
54,97824,311432.0,128196,1993_ARKANSAS,782791,447634,68617.0,ARKANSAS,771079,386526,1376067,1346909,1993
55,1944760,5129788.0,2151157,1993_CALIFORNIA,15281147,8828035,1608514.0,CALIFORNIA,17064146,8914559,28110986,28043338,1993
56,318959,539538.0,147793,1993_COLORADO,1537714,1668196,92163.0,COLORADO,1242337,954032,3028305,3058326,1993
57,186802,471918.0,149204,1993_CONNECTICUT,2302852,2481415,143312.0,CONNECTICUT,1433539,1190914,4079943,4064158,1993
58,47372,104355.0,44497,1993_DELAWARE,394680,196207,26548.0,DELAWARE,443250,207850,694534,683954,1993
59,38074,80937.0,73882,1993_DISTRICT_OF_COLUMBIA,339266,647269,39819.0,DISTRICT_OF_COLUMBIA,0,302281,719440,721151,1993
60,1424334,1980569.0,947326,1993_FLORIDA,5333136,4901937,852220.0,FLORIDA,5520893,3557043,11425183,11370156,1993
61,439808,893557.0,296231,1993_GEORGIA,2538712,2176748,260423.0,GEORGIA,2243580,1323320,4647974,4716559,1993
62,82431,177448.0,76183,1993_HAWAII,580597,23917,95700.0,HAWAII,962375,304362,1063090,1062475,1993
63,81359,231632.0,72747,1993_IDAHO,499914,270634,41238.0,IDAHO,547454,260805,899819,890835,1993
64,852085,1856841.0,632724,1993_ILLINOIS,5520683,6484829,426411.0,ILLINOIS,3467071,3352722,10744695,10584624,1993
65,477709,958052.0,278090,1993_INDIANA,2862585,2549796,268924.0,INDIANA,3005534,1619011,5668599,5833420,1993
66,196098,493957.0,131444,1993_IOWA,1522556,1450232,114390.0,IOWA,1299055,818922,2889377,2880731,1993
67,195674,451469.0,123082,1993_KANSAS,1309958,1098685,142268.0,KANSAS,1165178,802965,2522542,2386945,1993
68,127578,489281.0,216900,1993_KENTUCKY,1247496,634922,151526.0,KENTUCKY,1529326,711873,2283431,2381148,1993
69,173012,795719.0,397206,1993_LOUISIANA,1898515,1164148,262609.0,LOUISIANA,1876967,997974,3427102,3438321,1993
70,55490,211511.0,77440,1993_MAINE,809278,638491,67864.0,MAINE,652164,328664,1321846,1368095,1993
71,324925,751850.0,252211,1993_MARYLAND,2785206,2725086,224147.0,MARYLAND,1940713,1508203,4898895,4918010,1993
72,59238,862495.0,305113,1993_MASSACHUSETTS,3237228,3892178,191641.0,MASSACHUSETTS,1924321,1720824,5679261,6121612,1993
73,932700,1600650.0,594226,1993_MICHIGAN,5411969,7113200,715410.0,MICHIGAN,3326748,3689748,11430958,11034174,1993
74,512196,781566.0,213724,1993_MINNESOTA,2756415,2364805,466306.0,MINNESOTA,2284106,1327959,5290504,4862635,1993
75,87575,329408.0,174870,1993_MISSISSIPPI,652571,382938,89766.0,MISSISSIPPI,612301,318799,1167032,1170109,1993
76,399553,834636.0,271548,1993_MISSOURI,2229886,1985823,227686.0,MISSOURI,1939230,1250115,4234845,4196601,1993
77,49720,158875.0,74386,1993_MONTANA,446245,294080,64200.0,MONTANA,445532,261677,833435,813998,1993
78,141118,281354.0,94308,1993_NEBRASKA,972575,1021502,57564.0,NEBRASKA,509432,424311,1642376,1625242,1993
79,195478,222846.0,52876,1993_NEVADA,611914,342115,41799.0,NEVADA,753277,360827,1265367,1148268,1993
80,42172,177722.0,34680,1993_NEW_HAMPSHIRE,611158,990721,34802.0,NEW_HAMPSHIRE,84342,322618,1091814,1109743,1993
81,342746,653488.0,331924,1993_NEW_JERSEY,3676378,3311046,203775.0,NEW_JERSEY,3104597,2092298,6641624,6747567,1993
82,128202,281407.0,154018,1993_NEW_MEXICO,587753,165451,62453.0,NEW_MEXICO,897725,427793,1223185,1217194,1993
83,1625848,2663637.0,1276362,1993_NEW_YORK,14029639,12563921,935895.0,NEW_YORK,8848470,6425626,23934282,22688753,1993
84,480317,1112636.0,433602,1993_NORTH_CAROLINA,3037814,1761098,345822.0,NORTH_CAROLINA,3388466,1525471,5475174,5583166,1993
85,41585,118793.0,56254,1993_NORTH_DAKOTA,310940,280111,44647.0,NORTH_DAKOTA,243783,156042,588983,580148,1993
86,588386,1834239.0,509488,1993_OHIO,5522474,6176048,451400.0,OHIO,4156070,3653046,10385253,10841606,1993
87,113949,312817.0,99809,1993_OKLAHOMA,726475,533913,113582.0,OKLAHOMA,802783,457062,1428916,1436505,1993
88,209804,509814.0,196584,1993_OREGON,1712282,1763935,98785.0,OREGON,1180698,1053438,3149126,3141217,1993
89,966827,1719829.0,695807,1993_PENNSYLVANIA,6856146,6792207,684867.0,PENNSYLVANIA,4781408,3622113,12809067,12269422,1993
90,12708,138939.0,46215,1993_RHODE_ISLAND,588044,521867,11541.0,RHODE_ISLAND,351512,268106,901540,919594,1993
91,221824,631613.0,277419,1993_SOUTH_CAROLINA,1592384,1333732,269661.0,SOUTH_CAROLINA,1419961,820795,2994038,3031112,1993
92,43632,107050.0,52787,1993_SOUTH_DAKOTA,265549,292012,22308.0,SOUTH_DAKOTA,120851,139963,481665,465650,1993
93,248037,844668.0,334410,1993_TENNESSEE,1969619,1399205,209586.0,TENNESSEE,1535027,781510,3286481,3268642,1993
94,2989512,3535333.0,1233446,1993_TEXAS,8914245,9114198,971683.0,TEXAS,9919561,5150373,18574871,20267205,1993
95,207312,462323.0,116791,1993_UTAH,881924,592918,128758.0,UTAH,928596,410867,1665011,1638305,1993
96,15655,97454.0,34179,1993_VERMONT,405876,586583,22698.0,VERMONT,216778,193543,809853,837540,1993
97,488487,1032842.0,365601,1993_VIRGINIA,3121277,3194224,303062.0,VIRGINIA,2358711,1837782,5955333,5918536,1993
98,942214,896197.0,284396,1993_WASHINGTON,2778268,1266342,235224.0,WASHINGTON,3720223,1626508,5791436,5270961,1993
99,171484,317719.0,140913,1993_WEST_VIRGINIA,1023497,470978,116349.0,WEST_VIRGINIA,1220263,500010,1829848,1832154,1993
100,500029,829085.0,226234,1993_WISCONSIN,3111910,2926067,193368.0,WISCONSIN,2205644,1629643,5640718,5357945,1993
101,48076,100313.0,35437,1993_WYOMING,334071,271010,21047.0,WYOMING,308683,193624,614807,615130,1993
102,231508,730004.0,331823,1994_ALABAMA,1697593,787506,306977.0,ALABAMA,1850894,826442,3103266,2970223,1994
103,98486,123868.0,134168,1994_ALASKA,516242,249885,36589.0,ALASKA,668229,446458,1116160,1052282,1994
104,696618,708482.0,348847,1994_ARIZONA,1652311,1739367,183778.0,ARIZONA,1478372,1054136,3803379,3566586,1994
105,105349,312695.0,132108,1994_ARKANSAS,816270,450783,75434.0,ARKANSAS,810396,403608,1445984,1393287,1994
106,1916061,4120498.0,2095878,1994_CALIFORNIA,12443864,8169417,1615630.0,CALIFORNIA,13175550,6754346,23012688,23440845,1994
107,328219,549570.0,165539,1994_COLORADO,1574164,1626794,95796.0,COLORADO,1269532,977343,3113755,3061865,1994
108,53083,479522.0,142392,1994_CONNECTICUT,2431273,2589404,150749.0,CONNECTICUT,1537064,1221662,4132350,4268860,1994
109,50805,103782.0,50572,1994_DELAWARE,413915,207796,30320.0,DELAWARE,447430,217782,732323,705798,1994
110,22568,80678.0,79432,1994_DISTRICT_OF_COLUMBIA,351028,656288,63271.0,DISTRICT_OF_COLUMBIA,0,332951,769818,735720,1994
111,1769738,2039884.0,890498,1994_FLORIDA,5715125,5267035,898855.0,FLORIDA,6158417,3849613,12469073,12315950,1994
112,723316,1235304.0,449430,1994_GEORGIA,3509251,2901183,405376.0,GEORGIA,3473578,1862815,6597359,6824191,1994
113,114779,181212.0,77993,1994_HAWAII,615270,30143,93482.0,HAWAII,1025813,322736,1146267,1133949,1994
114,99924,236774.0,77626,1994_IDAHO,538783,296267,44562.0,IDAHO,576106,273654,974781,949999,1994
115,508619,1875956.0,628532,1994_ILLINOIS,5727974,6983524,446271.0,ILLINOIS,3697747,3468903,10743708,11309803,1994
116,551285,963071.0,286351,1994_INDIANA,3003825,3080801,273493.0,INDIANA,2754602,1743788,6061435,6121754,1994
117,195410,497925.0,139312,1994_IOWA,1551221,1508170,120252.0,IOWA,1339912,858078,2974072,2987394,1994
118,172340,457744.0,134686,1994_KANSAS,1371720,1025174,156331.0,KANSAS,1540727,856673,2643192,2700587,1994
119,126669,490069.0,238630,1994_KENTUCKY,1310208,691978,145930.0,KENTUCKY,1561340,761029,2392549,2491948,1994
120,197625,798312.0,437307,1994_LOUISIANA,1952186,1220169,270613.0,LOUISIANA,1914388,1033282,3539581,3571864,1994
121,73376,211731.0,77393,1994_MAINE,799103,669882,72234.0,MAINE,609841,325201,1338353,1357116,1994
122,387699,772638.0,258611,1994_MARYLAND,2812922,2880512,254041.0,MARYLAND,2002382,1673254,5187683,5141505,1994
123,282757,877384.0,312111,1994_MASSACHUSETTS,3536321,3979200,189810.0,MASSACHUSETTS,2119446,1914124,6391131,6410757,1994
124,877390,1601845.0,658039,1994_MICHIGAN,5825127,7614692,803226.0,MICHIGAN,3489815,3912910,12023935,11762546,1994
125,565106,802913.0,224106,1994_MINNESOTA,2876527,2215427,490949.0,MINNESOTA,2822949,1388180,5581140,5262482,1994
126,159184,503374.0,296345,1994_MISSISSIPPI,1072529,566467,148515.0,MISSISSIPPI,1048767,515600,1919812,1911579,1994
127,443146,852324.0,294270,1994_MISSOURI,2396531,2104644,245316.0,MISSOURI,2089445,1349465,4575564,4488359,1994
128,50333,163968.0,83029,1994_MONTANA,508299,349565,36336.0,MONTANA,446392,271711,878084,878986,1994
129,173484,283962.0,101579,1994_NEBRASKA,1033858,1080591,63108.0,NEBRASKA,528743,447649,1769248,1710913,1994
130,184082,235800.0,56664,1994_NEVADA,654272,392669,44739.0,NEVADA,817216,406932,1344245,1266549,1994
131,34260,181688.0,37805,1994_NEW_HAMPSHIRE,648513,1017786,38919.0,NEW_HAMPSHIRE,89556,316069,1119762,1145147,1994
132,320715,651554.0,293378,1994_NEW_JERSEY,3522248,3561798,268715.0,NEW_JERSEY,3102722,2430560,6765105,6957898,1994
133,129528,286759.0,164101,1994_NEW_MEXICO,622138,196530,63549.0,NEW_MEXICO,982237,391385,1223759,1342868,1994
134,1717307,2702937.0,1442038,1994_NEW_YORK,14829280,13399349,992378.0,NEW_YORK,9092275,6782725,25359726,23933662,1994
135,490626,1131662.0,454682,1994_NORTH_CAROLINA,3161072,1640491,362721.0,NORTH_CAROLINA,3553217,1629603,5740906,5648390,1994
136,50938,118778.0,65506,1994_NORTH_DAKOTA,319014,291334,46522.0,NORTH_DAKOTA,247062,158223,621313,603902,1994
137,658754,1816817.0,537642,1994_OHIO,5785984,5926170,472696.0,OHIO,4271944,3675789,10780138,10735756,1994
138,129800,316322.0,120788,1994_OKLAHOMA,765718,558639,116301.0,OKLAHOMA,839113,473061,1529205,1518540,1994
139,223352,518425.0,212544,1994_OREGON,1719357,1660527,110201.0,OREGON,1215471,1068111,3191792,3088542,1994
140,963256,1720681.0,686113,1994_PENNSYLVANIA,7100564,7453385,703486.0,PENNSYLVANIA,5132066,3795048,13701725,13271564,1994
141,14866,144918.0,48443,1994_RHODE_ISLAND,642068,578918,14152.0,RHODE_ISLAND,385626,300816,994885,1012987,1994
142,251078,634415.0,285908,1994_SOUTH_CAROLINA,1646310,1423503,211713.0,SOUTH_CAROLINA,1470131,961618,3156251,3179542,1994
143,52745,108439.0,51846,1994_SOUTH_DAKOTA,284638,329490,23351.0,SOUTH_DAKOTA,126591,148152,525289,507927,1994
144,270608,857014.0,341912,1994_TENNESSEE,2101003,1499391,225590.0,TENNESSEE,1694595,996094,3661470,3535898,1994
145,1717181,3601627.0,1456330,1994_TEXAS,9814470,9687625,936331.0,TEXAS,8569649,6093204,19224149,19713604,1994
146,256177,469811.0,125520,1994_UTAH,997141,683643,137271.0,UTAH,982848,413388,1846448,1792011,1994
147,38902,98377.0,34989,1994_VERMONT,419793,637208,25011.0,VERMONT,219927,203059,869710,892124,1994
148,587495,1044721.0,372866,1994_VIRGINIA,3271356,3353229,314439.0,VIRGINIA,2399644,1883438,6276362,6125739,1994
149,840257,915952.0,327784,1994_WASHINGTON,2918426,1432963,252127.0,WASHINGTON,3978265,1741684,5968590,5739012,1994
150,151404,313750.0,147289,1994_WEST_VIRGINIA,1051169,521613,116579.0,WEST_VIRGINIA,1185501,507996,1843973,1854403,1994
151,504767,843747.0,238786,1994_WISCONSIN,3257526,3079790,193556.0,WISCONSIN,2363863,1689034,5860230,5682439,1994
152,48647,100899.0,38849,1994_WYOMING,344562,284600,21161.0,WYOMING,351472,192234,623146,674921,1994
153,243365,727480.0,328957,1995_ALABAMA,1851700,877114,326956.0,ALABAMA,2161366,888983,3353363,3367437,1995
154,159146,125421.0,123037,1995_ALASKA,515914,284003,37579.0,ALASKA,710028,469085,1203817,1117068,1995
155,710135,735018.0,376437,1995_ARIZONA,1772388,1769608,226507.0,ARIZONA,1669173,1131046,4056279,3815218,1995
156,160693,447757.0,197556,1995_ARKANSAS,1211057,615537,119934.0,ARKANSAS,1244457,598109,2155067,2057550,1995
157,2669270,5299405.0,2612241,1995_CALIFORNIA,16146416,11358487,2181053.0,CALIFORNIA,15541486,8603751,30097549,29512214,1995
158,449501,639805.0,201341,1995_COLORADO,1896225,1930546,115636.0,COLORADO,1577988,1174299,3766191,3709875,1995
159,91833,489513.0,147466,1995_CONNECTICUT,2596475,2650480,137005.0,CONNECTICUT,1622686,1245242,4252186,4420632,1995
160,50074,106813.0,51682,1995_DELAWARE,431433,239863,35495.0,DELAWARE,510473,236288,772669,802018,1995
161,400122,645232.0,367810,1998_KENTUCKY,2116458,1158363,241709.0,KENTUCKY,2411836,1179822,4018512,3938009,1998
162,32103,80450.0,65527,1995_DISTRICT_OF_COLUMBIA,336543,634584,38207.0,DISTRICT_OF_COLUMBIA,0,301371,708224,700111,1995
163,2070572,2107514.0,938814,1995_FLORIDA,6113051,5784787,951023.0,FLORIDA,6519109,4077880,13473977,13242710,1995
164,898969,1270948.0,458452,1995_GEORGIA,3813194,2942239,442434.0,GEORGIA,3652134,2009750,7292267,7052825,1995
165,94706,183869.0,82547,1995_HAWAII,636952,28736,96922.0,HAWAII,1062296,328579,1157159,1173579,1995
166,134550,240448.0,80861,1995_IDAHO,602038,336586,46107.0,IDAHO,665768,301143,1108075,1083215,1995
167,1023865,1897161.0,686758,1995_ILLINOIS,6031588,7449397,457236.0,ILLINOIS,4100518,3778799,11821661,12236673,1995
168,643725,966622.0,292362,1995_INDIANA,3145120,2886574,290661.0,INDIANA,3335998,1760003,6377558,6514934,1995
169,209808,498837.0,141050,1995_IOWA,1614502,1554668,127943.0,IOWA,1381253,872640,3100772,3076971,1995
170,177250,460905.0,137424,1995_KANSAS,1407359,1076376,162631.0,KANSAS,1613143,881083,2756682,2826943,1995
171,143259,639992.0,312742,1995_KENTUCKY,1890546,977003,211275.0,KENTUCKY,2218928,1112902,3415870,3508673,1995
172,219314,797061.0,449360,1995_LOUISIANA,2050103,1343060,289366.0,LOUISIANA,1999375,1081590,3735603,3791795,1995
173,70968,212154.0,78233,1995_MAINE,833366,715886,63055.0,MAINE,652626,391838,1438795,1446745,1995
174,458731,790938.0,270249,1995_MARYLAND,3064702,3250655,253194.0,MARYLAND,2059219,1768323,5610071,5580123,1995
