,song_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,100,0.104,0.896,196653,0.586,0.0,10,0.79,-6.687,0,0.0559,116.971,4,0.642
1,696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,99,0.0522,0.621,163636,0.601,0.0,6,0.46,-5.616,0,0.148,116.735,5,0.457
2,21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,97,0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553
3,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,BOP,93,0.189,0.769,159715,0.787,0.0,11,0.129,-3.909,1,0.367,126.77,4,0.836
4,6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit (with YoungBoy Never Broke Again),92,0.0687,0.474,189323,0.631,0.0,5,0.132,-5.884,0,0.343,180.051,4,0.425
5,1iSqfoUFnQwV0QW1EfUit8,YNW Melly,Suicidal,91,0.334,0.736,222997,0.369,0.0,9,0.126,-9.682,0,0.0688,140.005,4,0.235
6,3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,97,0.902,0.704,245426,0.225,0.657,6,0.106,-14.454,0,0.0994,120.006,4,0.243
7,0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,98,0.00147,0.513,201573,0.796,0.000209,1,0.0938,-4.075,1,0.0629,171.017,4,0.345
8,2Ec33AVlkTTq8BHFgBTdQs,Lil Uzi Vert,Futsal Shuffle 2020,91,0.0327,0.881,198913,0.457,0.0,7,0.231,-8.191,0,0.156,136.97,4,0.296
9,3QzAOrNlsabgbMwlZt7TAY,Mustard,Ballin' (with Roddy Ricch),91,0.392,0.809,180435,0.545,0.0,7,0.151,-6.678,1,0.0735,97.008,4,0.244
10,2XU0oxnq2qxCpomAAuJY8K,Tones and I,Dance Monkey,99,0.692,0.824,209438,0.588,0.000104,6,0.149,-6.4,0,0.0924,98.027,4,0.513
11,6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,97,0.0125,0.794,183290,0.793,0.0,11,0.0952,-4.521,0,0.0842,123.941,4,0.677
12,3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,93,0.0546,0.598,175721,0.427,5.83e-06,7,0.21,-8.764,0,0.0317,76.469,4,0.0605
13,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,93,0.128,0.778,185093,0.559,0.0,6,0.399,-7.109,0,0.0776,129.989,1,0.678
14,3yOlyBJuViE2YSGn3nVE1K,Camila Cabello,My Oh My (feat. DaBaby),94,0.018,0.724,170746,0.491,1.29e-05,8,0.0887,-6.024,1,0.0296,105.046,4,0.383
15,0fySG6A6qLE8IvDpayb5bM,DaBaby,VIBEZ,88,0.113,0.768,144935,0.652,0.0,1,0.107,-2.708,0,0.307,154.187,4,0.777
16,3VyjsVV24RmBIbWJAeUJNu,Don Toliver,No Idea,92,0.558,0.656,153750,0.614,0.000862,6,0.215,-4.973,0,0.102,128.038,4,0.35
17,598yNsG1JFrGd4n2kMoz7F,Lil Baby,Woah,87,0.0177,0.882,183011,0.602,0.0,11,0.178,-5.554,1,0.245,142.959,4,0.43
18,2FvD20Z8aoWIePi7PoN8sG,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),87,0.0794,0.816,136366,0.582,5.84e-06,8,0.0916,-4.141,1,0.341,160.004,4,0.542
19,57vxBYXtHMk6H1aD29V7PU,The Weeknd,Heartless,91,0.00632,0.531,200080,0.75,7.6e-05,10,0.117,-5.831,0,0.111,169.954,4,0.198
20,2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,97,0.837,0.764,189486,0.32,0.0,11,0.0822,-7.209,1,0.0546,91.019,4,0.575
21,07KXEDMj78x68D884wgVEm,Roddy Ricch,High Fashion (feat. Mustard),87,0.269,0.831,220487,0.499,0.0,11,0.3,-8.442,0,0.114,97.956,4,0.511
22,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,95,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562
23,6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,SUGAR,90,0.449,0.453,204533,0.538,0.0,1,0.19,-8.212,1,0.0638,122.973,4,0.516
24,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,94,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
25,6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery,88,0.328,0.685,240051,0.692,0.0,2,0.153,-5.122,1,0.0457,159.966,5,0.578
26,3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Say So,90,0.256,0.787,237893,0.673,3.57e-06,11,0.0904,-4.577,0,0.158,110.962,4,0.786
27,2gwkD6igEhQbDQegRCcdoB,DaBaby,Suge,86,0.0608,0.876,163320,0.662,0.0,2,0.127,-6.482,0,0.426,75.445,4,0.844
28,1lOe9qE0vR9zwWQAOk6CoO,Lil Tecca,Ransom,89,0.0204,0.745,131240,0.642,0.0,7,0.0658,-6.257,0,0.287,179.974,4,0.226
29,2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,"10,000 Hours (with Justin Bieber)",91,0.153,0.654,167693,0.63,0.0,10,0.111,-4.644,1,0.0259,89.991,4,0.43
30,5ry2OE6R2zPQFDO85XkgRb,Drake,Money In The Grave (Drake ft. Rick Ross),87,0.101,0.831,205427,0.502,0.0,10,0.122,-4.045,0,0.046,100.541,4,0.101
31,7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,99,0.295,0.803,200960,0.715,0.000134,2,0.0574,-3.28,1,0.298,101.085,4,0.574
