,song_id,artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4HlFJV71xXKIGcU3kRyttv,Train,"Hey, Soul Sister",82,2010,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,4
1,7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,80,2010,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733,4
2,2qYsSHsYkihWx043HVJQRV,Jason Aldean,Dirt Road Anthem,73,2010,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,229400,4
3,03tqyYWC9Um2ZqU0ZN849H,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),74,2010,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,4
4,15JINEqzVMv3SvJTAXAKED,Eminem,Love The Way You Lie,81,2010,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,263373,4
5,0HPD5WQqrq7wPWR7P7Dw1i,Kesha,TiK ToK,80,2010,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
6,2tJulUYLDKOg9XrtVkMgcJ,Bruno Mars,Grenade,75,2010,0.706,0.558,2,-7.237,0,0.0593,0.146,0.0,0.118,0.227,110.443,223253,4
7,2gZUPNdnz5Y45eiGxpHGSc,Kanye West,POWER,78,2010,0.543,0.915,0,-4.746,0,0.113,0.0162,0.0,0.744,0.577,153.998,292093,4
8,0iYebKFUSfF72fUu2OW6ZT,Nicki Minaj,Super Bass,71,2010,0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991,200013,4
9,161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,74,2010,0.523,0.606,1,-4.754,0,0.0301,0.512,0.0,0.106,0.065,145.837,217867,4
10,3JTMWdhcJPiegDSe7SvZS3,Kesha,Cannibal,79,2010,0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,194253,4
11,0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,73,2010,0.684,0.603,11,-8.127,0,0.0989,0.0275,0.000311,0.191,0.504,81.0,195373,4
12,1DqdF42leyFIzqNDv9CjId,Taio Cruz,Dynamite,71,2010,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867,4
13,2IpGdrWvIZipmaxo1YRxw5,Trey Songz,Bottoms Up (feat. Nicki Minaj),72,2010,0.845,0.601,1,-5.283,1,0.161,0.0205,0.0,0.385,0.329,74.008,242013,4
14,1GxHeBvQ9935Dd3cSfsfBa,Drake,Best I Ever Had,72,2010,0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.604,162.193,258760,4
15,4356Typ82hUiFAynbLYbPn,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),78,2010,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,220800,4
16,7Ie9W94M7OjPoZVV216Xus,Eminem,Not Afraid,78,2010,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,248133,5
17,22PMfvdz35fFKYnJyMn077,Bruno Mars,Marry You,72,2010,0.62,0.832,10,-4.848,1,0.036,0.332,0.0,0.104,0.481,144.926,230120,4
18,1fBl642IhJOE5U319Gy2Go,Neon Trees,Animal,69,2010,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4
19,6lV2MSQmRIkycDScNtrBXO,B.o.B,Airplanes (feat. Hayley Williams),75,2010,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,180480,4
20,22L7bfCiAkJo5xGSQgmiIO,Kanye West,All Of The Lights,74,2010,0.541,0.803,1,-3.284,1,0.0738,0.0796,1.71e-05,0.176,0.221,142.135,299613,4
21,1gv4xPanImH17bKZ9rOveR,P!nk,Raise Your Glass,76,2010,0.7,0.709,7,-5.006,1,0.0839,0.0048,0.0,0.0289,0.625,122.019,202960,4
22,2a1o6ZejUi8U3wzzOtCOYw,Don Omar,Danza Kuduro,74,2010,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,3
23,67T6l4q3zVjC5nZZPXByU8,Jason Derulo,Whatcha Say,67,2010,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253,4
24,6epn3r7S14KUqlReYr77hA,Justin Bieber,Baby,76,2010,0.728,0.86,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,214240,4
25,2Cd9iWfcOpGDHLz6tVA3G4,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),78,2010,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,202627,4
26,3UjtIALeg72qmJiKPWBvM3,Two Door Cinema Club,What You Know,68,2010,0.561,0.741,6,-4.239,0,0.0419,0.000715,1.4e-05,0.0822,0.776,139.001,191707,4
27,4u26EevCNXMhlvE1xFBJwX,The Band Perry,If I Die Young,68,2010,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,222773,4
28,4DvhkX2ic4zWkQeWMwQ2qf,Far East Movement,Like A G6,68,2010,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,216893,4
29,7LcfRTgAVTs5pQGEQgUEzN,Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,70,2010,0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,128.047,201160,4
30,3DK6m7It6Pw857FcQftMds,Kanye West,Runaway,72,2010,0.571,0.568,1,-3.827,0,0.0703,0.218,0.0021,0.512,0.109,86.986,547733,4
31,11EX5yhxr9Ihl3IN1asrfK,Lady Antebellum,Need You Now,69,2010,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4
32,7l1qvxWjxcKpB9PCtBuTbU,Bruno Mars,Count on Me - EP Version,72,2010,0.577,0.397,0,-5.98,1,0.028,0.84,0.0,0.0772,0.509,89.044,197373,4
33,1ExfPZEiahqhLyajhybFeS,Bruno Mars,The Lazy Song,71,2010,0.738,0.804,11,-3.851,1,0.0621,0.332,0.0,0.279,0.949,174.943,190213,4
34,59dLtGBS26x7kc0rHbaPrq,B.o.B,Nothin' on You (feat. Bruno Mars),72,2010,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,268320,4
35,72Fnsr9pkCyXCmY3BS7sbx,Cody Jinks,Hippies and Cowboys,67,2010,0.698,0.586,5,-5.066,1,0.0278,0.0504,0.0,0.295,0.623,115.081,300680,4
36,6XkuklKiHYVTlVvWlTgQYP,Kid Cudi,Erase Me - Main,69,2010,0.688,0.631,9,-5.612,1,0.13,0.063,0.0,0.108,0.854,186.066,192253,4
37,0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,On Melancholy Hill,76,2010,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867,4
38,03xWMkKEbeO4SnylA53ipj,Mandy Moore,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",71,2010,0.673,0.42,4,-7.581,1,0.0317,0.112,0.0,0.0897,0.385,108.066,152333,4
39,2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,Cooler Than Me - Single Mix,71,2010,0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.704,0.625,129.969,213293,4
40,5zGqTc1WQUe8XqqdnrpKTV,Rodney Atkins,Farmer's Daughter,67,2010,0.612,0.791,6,-3.519,1,0.0291,0.224,0.0,0.112,0.786,133.977,207040,4
41,6PmjWl0phNxc0R5OwkDdiZ,Jeremih,Love Don't Change,69,2010,0.539,0.424,11,-9.361,1,0.0406,0.317,0.0,0.108,0.17,118.071,256867,4
42,6klpXs2uAjagnZMFkt4qkl,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",71,2010,0.281,0.139,5,-14.392,1,0.0305,0.829,0.0,0.0725,0.169,92.64,224240,4
43,4ycLiPVzE5KamivXrAzGFG,CeeLo Green,Fuck You,67,2010,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,222933,4
44,3LUWWox8YYykohBbHUrrxd,Kesha,We R Who We R,71,2010,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,4
45,1kMuU3TNQvHbqvXCWBodmP,Lil Wayne,Right Above It,67,2010,0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052,271947,4
46,2MWOqewf5j0qf2b6S5J6cS,Train,Marry Me,72,2010,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,205453,4
47,3ZdJffjzJWFimSQyxgGIxN,Nelly,Just A Dream - Main,73,2010,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4
48,0grFc6klR3hxoHLcgCYsF4,The Black Keys,Howlin' for You,66,2010,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627,191800,4
49,2p07VcUwRZ5sru3mJ0JogS,Josh Turner,Why Don't We Just Dance,66,2010,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,192800,4
50,6BaxqcoEM9r3LXisTyJjST,Jason Derulo,Ridin' Solo,65,2010,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,215747,4
51,6vc2Jq2vaGu8z326kSrw92,Kesha,Your Love Is My Drug,69,2010,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,187133,4
52,4UEo1b0wWrtHMC8bVqPiH8,Avenged Sevenfold,Nightmare,71,2010,0.554,0.949,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,374453,4
53,0x3TibRgnSqzkcwrqBd4iX,Jeremih,Down On Me,70,2010,0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041,228453,4
54,1ZHYJ2Wwgxes4m8Ba88PeK,Kanye West,Monster,70,2010,0.628,0.692,2,-5.64,1,0.202,0.00244,0.013,0.668,0.0964,124.791,378893,5
55,1bM50INir8voAkVoKuvEUI,Usher,OMG (feat. will.i.am),71,2010,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4
