,song_id,artist_name,track_name,popularity,year
0,4HlFJV71xXKIGcU3kRyttv,Train,"Hey, Soul Sister",82,2019
1,7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,79,2019
2,03tqyYWC9Um2ZqU0ZN849H,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),73,2019
3,2qYsSHsYkihWx043HVJQRV,Jason Aldean,Dirt Road Anthem,72,2019
4,15JINEqzVMv3SvJTAXAKED,Eminem,Love The Way You Lie,81,2019
5,2gZUPNdnz5Y45eiGxpHGSc,Kanye West,POWER,78,2019
6,0HPD5WQqrq7wPWR7P7Dw1i,Kesha,TiK ToK,79,2019
7,2tJulUYLDKOg9XrtVkMgcJ,Bruno Mars,Grenade,74,2019
8,22L7bfCiAkJo5xGSQgmiIO,Kanye West,All Of The Lights,75,2019
9,0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,72,2019
10,7Ie9W94M7OjPoZVV216Xus,Eminem,Not Afraid,78,2019
11,0iYebKFUSfF72fUu2OW6ZT,Nicki Minaj,Super Bass,70,2019
12,161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,73,2019
13,1DqdF42leyFIzqNDv9CjId,Taio Cruz,Dynamite,70,2019
14,3zJw3rugfpVrmBeDDnUYzy,John Lennon,Happy Xmas (War Is Over) - Remastered,78,2019
15,1GxHeBvQ9935Dd3cSfsfBa,Drake,Best I Ever Had,71,2019
16,4356Typ82hUiFAynbLYbPn,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),77,2019
17,6lV2MSQmRIkycDScNtrBXO,B.o.B,Airplanes (feat. Hayley Williams),74,2019
18,22PMfvdz35fFKYnJyMn077,Bruno Mars,Marry You,71,2019
19,1gv4xPanImH17bKZ9rOveR,P!nk,Raise Your Glass,75,2019
20,2a1o6ZejUi8U3wzzOtCOYw,Don Omar,Danza Kuduro,74,2019
21,1yEwEiTpsaPhQi9lb5EVV4,Zac Brown Band,Knee Deep (feat. Jimmy Buffett),68,2019
22,3DK6m7It6Pw857FcQftMds,Kanye West,Runaway,72,2019
23,6epn3r7S14KUqlReYr77hA,Justin Bieber,Baby,76,2019
24,1fBl642IhJOE5U319Gy2Go,Neon Trees,Animal,68,2019
25,2IpGdrWvIZipmaxo1YRxw5,Trey Songz,Bottoms Up (feat. Nicki Minaj),69,2019
26,3UjtIALeg72qmJiKPWBvM3,Two Door Cinema Club,What You Know,67,2019
27,7LcfRTgAVTs5pQGEQgUEzN,Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,69,2019
28,4u26EevCNXMhlvE1xFBJwX,The Band Perry,If I Die Young,67,2019
29,4DvhkX2ic4zWkQeWMwQ2qf,Far East Movement,Like A G6,67,2019
30,6XkuklKiHYVTlVvWlTgQYP,Kid Cudi,Erase Me - Main,69,2019
31,11EX5yhxr9Ihl3IN1asrfK,Lady Antebellum,Need You Now,68,2019
32,67T6l4q3zVjC5nZZPXByU8,Jason Derulo,Whatcha Say,66,2019
33,1kMuU3TNQvHbqvXCWBodmP,Lil Wayne,Right Above It,67,2019
34,2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,Cooler Than Me - Single Mix,71,2019
35,6PmjWl0phNxc0R5OwkDdiZ,Jeremih,Love Don't Change,68,2019
36,7l1qvxWjxcKpB9PCtBuTbU,Bruno Mars,Count on Me - EP Version,71,2019
37,0grFc6klR3hxoHLcgCYsF4,The Black Keys,Howlin' for You,66,2019
38,3LUWWox8YYykohBbHUrrxd,Kesha,We R Who We R,70,2019
39,0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,On Melancholy Hill,75,2019
40,1ExfPZEiahqhLyajhybFeS,Bruno Mars,The Lazy Song,69,2019
41,0u4N6w5lBw5xMrzJitRWUo,Prince Royce,Corazon Sin Cara,70,2019
42,1M2l9ReoabUnvl6Y8jLUe7,Zac Brown Band,Colder Weather,65,2019
43,1ZHYJ2Wwgxes4m8Ba88PeK,Kanye West,Monster,70,2019
44,2MWOqewf5j0qf2b6S5J6cS,Train,Marry Me,71,2019
45,4ycLiPVzE5KamivXrAzGFG,CeeLo Green,Fuck You,66,2019
46,1bM50INir8voAkVoKuvEUI,Usher,OMG (feat. will.i.am),71,2019
47,72Fnsr9pkCyXCmY3BS7sbx,Cody Jinks,Hippies and Cowboys,65,2019
48,4UEo1b0wWrtHMC8bVqPiH8,Avenged Sevenfold,Nightmare,71,2019
49,59dLtGBS26x7kc0rHbaPrq,B.o.B,Nothin' on You (feat. Bruno Mars),70,2019
50,0GO8y8jQk1PkHzS31d699N,Grouplove,Tongue Tied,78,2019
51,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,Pumped Up Kicks,83,2019
52,2wAJTrFhCnQyNSD3oUgTZO,J. Cole,Work Out,78,2019
53,4wCmqSrbyCgxEXROQE6vtV,Gotye,Somebody That I Used To Know,75,2019
54,4kflIGfjdZJW4ot2ioixTB,Adele,Someone Like You,78,2019
55,6lanRgr6wXibZr8KgzXxBl,Christina Perri,A Thousand Years,79,2019
56,05ZACkzW8YbRq3eFgIfSNB,Eric Church,Springsteen,72,2019
57,047fCsbO4NdmwCBn8pcUXl,Drake,Marvins Room,74,2019
58,0qOnSQQF0yzuPWsXrQ9paz,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),76,2019
59,7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,79,2019
60,4Kz4RdRCceaA9VgTqBhBfa,Drake,The Motto,73,2019
61,2i0AUcEnsDm3dsqLrFWUCq,Hot Chelle Rae,Tonight Tonight,73,2019
