song_id,artist_name,track_name,popularity,year
62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,82,2014
3JvrhDOgAt6p7K8mDyZwRd,Vance Joy,Riptide,79,2014
5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,Stay With Me,84,2014
6Ius4TC0L3cN74HT7ENE6e,J. Cole,Wet Dreamz,79,2014
1CS7Sd1u5tWkstBhpssyjP,Hozier,Take Me to Church,76,2014
7t2bFihaDvhIrd2gn2CWJO,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",80,2014
13HVjjWUZFaWilh2QUJKsP,James Bay,Let It Go,75,2014
6sy3LkhNFjJWlaeSMNwQ62,OneRepublic,Counting Stars,74,2014
1TwLKNsCnhi1HxbIi4bAW0,Sam Hunt,House Party,74,2014
1almCHdsfikRPfVB9VrEdT,Alex & Sierra,Little Do You Know,80,2014
6vECYJHxYmm3Ydt3fF01pE,Milky Chance,Stolen Dance,73,2014
7795WJLVKJoAyVoOtCWqXN,Sam Smith,I'm Not The Only One,83,2014
4L2K7JKseFCBoHMZEAszW0,Labrinth,Jealous,80,2014
2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,81,2014
4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,80,2014
34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud,83,2014
5Hroj5K7vLpIG4FNCRIjbP,American Authors,Best Day Of My Life,78,2014
3JjnGLK8IxkNLvo8Lb3KOM,One Direction,18,79,2014
1MJ5f5EYBC92ADD6xcz7nb,Mac DeMarco,Chamber Of Reflection,75,2014
0SIAFU49FFHwR3QnT5Jx0k,SALES,Chinese New Year,77,2014
16qYlQ6koFxYVbiJbGHblz,J. Cole,G.O.M.D.,74,2014
1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,Photograph,85,2014
5NhlpQ6BOIz3S5welptk1W,Childish Gambino,Sober,73,2014
5S5rw0WLVCAux5B5bWCehK,Rascal Flatts,I Like The Sound Of That,71,2014
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,Say Something,79,2014
1dgWTMoHwTUnQhOQ8SR5fV,Kenny Chesney,American Kids,71,2014
7xoUc6faLbCqZO6fQEYprd,Ariana Grande,One Last Time,80,2014
7aftSOGSOpSoIlVAQVBb71,Sam Hunt,Break Up In A Small Town,71,2014
2bJvI42r8EF3wxjOuDav4r,Pitbull,Time of Our Lives,78,2014
11qh54D0PKkBwelpDxxiEU,Little Big Town,Girl Crush,71,2014
60nZcImufyMA1MKQY3dcCH,Pharrell Williams,"Happy - From ""Despicable Me 2""",81,2014
5aj0xPGiEUN3aI2oOYu14S,Lee Brice,I Don't Dance,71,2014
0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,82,2014
6YUTL4dYpB9xZO5qExPf05,Calvin Harris,Summer,80,2014
0puf9yIluy9W0vpMEUoAnN,Jessie J,Bang Bang,78,2014
1oew3nFNY3vMacJAsvry0S,Rixton,Me And My Broken Heart,77,2014
6jmTHeoWvBaSrwWttr8Xvu,G-Eazy,I Mean It (feat. Remo),74,2014
